Name: Hampden Street, Instruction: Head northwest on Hampden Street, Distance: 43.7 meters, Time: 31.4 seconds
Name: Cecil Street, Instruction: Turn right onto Cecil Street, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 120.3 meters, Time: 86.6 seconds
Name: Cameron Street, Instruction: Turn left onto Cameron Street, Distance: 42.2 meters, Time: 30.4 seconds
Name: New McLean Street, Instruction: Turn left onto New McLean Street, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 121.6 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 271.5 meters, Time: 195.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
