Name: Rua João Lira, Instruction: Head north on Rua João Lira, Distance: 219.8 meters, Time: 158.2 seconds
Name: Rua Humberto de Campos, Instruction: Turn left onto Rua Humberto de Campos, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 466.2 meters, Time: 335.6 seconds
Name: Rubro-Negra, Instruction: Turn slight left onto Rubro-Negra, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: Praça Sibélius, Instruction: Turn left onto Praça Sibélius, Distance: 22.1 meters, Time: 15.9 seconds
Name: Rubro-Negra, Instruction: Turn left onto Rubro-Negra, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Keep right, Distance: 44.4 meters, Time: 32.0 seconds
Name: Rubro-Negra, Instruction: Continue straight onto Rubro-Negra, Distance: 308.1 meters, Time: 221.9 seconds
Name: Rua Vice Governador Rubens Berardo, Instruction: Turn sharp right onto Rua Vice Governador Rubens Berardo, Distance: 151.8 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
