Name: Henry Street, Instruction: Head north on Henry Street, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 262.0 meters, Time: 188.6 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Keep right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
