Name: Repulse Road, Instruction: Head east on Repulse Road, Distance: 44.2 meters, Time: 31.8 seconds
Name: Elwyn Road South, Instruction: Turn right onto Elwyn Road South, Distance: 275.3 meters, Time: 198.2 seconds
Name: Lawson Road, Instruction: Turn left onto Lawson Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: Crystal Road, Instruction: Turn left onto Crystal Road, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 89.7 meters, Time: 64.6 seconds
Name: Penlyn Avenue, Instruction: Turn right onto Penlyn Avenue, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn left, Distance: 317.4 meters, Time: 228.5 seconds
Name: Arlington Road, Instruction: Turn left onto Arlington Road, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 114.6 meters, Time: 82.5 seconds
Name: Lynath Walk, Instruction: Turn slight right onto Lynath Walk, Distance: 14.2 meters, Time: 10.2 seconds
Name: Lynburg Road, Instruction: Turn left onto Lynburg Road, Distance: 87.2 meters, Time: 62.8 seconds
Name: Lynath Walk, Instruction: Turn left onto Lynath Walk, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at Lynath Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
