Name: Grey Street, Instruction: Head southeast on Grey Street, Distance: 451.5 meters, Time: 325.1 seconds
Name: Carlton Parade, Instruction: Turn left onto Carlton Parade, Distance: 212.4 meters, Time: 153.0 seconds
Name: Carlton Parade, Instruction: Enter the roundabout and take the 1st exit onto Carlton Parade, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 683.1 meters, Time: 491.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Gray Street, Instruction: Turn sharp right onto Gray Street, Distance: 39.6 meters, Time: 28.5 seconds
Name: Post Office Lane, Instruction: Turn left onto Post Office Lane, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 66.0 seconds
Name: Kensington Lane, Instruction: Turn right onto Kensington Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: Kensington Street, Instruction: Turn left onto Kensington Street, Distance: 231.5 meters, Time: 166.7 seconds
Name: Wicks Lane, Instruction: Turn right onto Wicks Lane, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Turn left, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Princes Highway, A1, Instruction: Turn left onto Princes Highway, A1, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Princes Highway, A1, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
