Name: Beamish Lane, Instruction: Head north on Beamish Lane, Distance: 7.6 meters, Time: 5.5 seconds
Name: South Parade, Instruction: Turn left onto South Parade, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 429.9 meters, Time: 309.6 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 411.6 meters, Time: 296.3 seconds
Name: -, Instruction: Turn slight left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn slight left, Distance: 77.2 meters, Time: 55.6 seconds
Name: Riverside Road, Instruction: Turn right onto Riverside Road, Distance: 5.3 meters, Time: 3.8 seconds
Name: Park Street, Instruction: Turn left onto Park Street, Distance: 112.6 meters, Time: 81.0 seconds
Name: -, Instruction: Arrive at Park Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
