Name: Richmond Street, Instruction: Head west on Richmond Street, Distance: 74.5 meters, Time: 53.6 seconds
Name: Princess Margaret Street, Instruction: Turn right onto Princess Margaret Street, Distance: 58.5 meters, Time: 42.1 seconds
Name: Cradock Street, Instruction: Turn sharp left onto Cradock Street, Distance: 70.8 meters, Time: 51.0 seconds
Name: Grens Street, Instruction: Turn right onto Grens Street, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn left, Distance: 300.3 meters, Time: 216.2 seconds
Name: -, Instruction: Turn right, Distance: 283.4 meters, Time: 204.0 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 166.7 meters, Time: 120.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
