Name: Bukit Batok West Avenue 8, Instruction: Head southeast on Bukit Batok West Avenue 8, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 218.6 meters, Time: 157.4 seconds
Name: -, Instruction: Turn right, Distance: 295.9 meters, Time: 213.0 seconds
Name: Jurong East Street 24, Instruction: Turn right onto Jurong East Street 24, Distance: 8.1 meters, Time: 5.8 seconds
Name: Jurong East Street 24, Instruction: Turn left onto Jurong East Street 24, Distance: 175.7 meters, Time: 126.5 seconds
Name: Jurong East Avenue 1, Instruction: Turn left onto Jurong East Avenue 1, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: Jurong Park Connector, Instruction: Turn right onto Jurong Park Connector, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 307.2 meters, Time: 221.2 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
