Name: Dagmar Avenue, Instruction: Head east on Dagmar Avenue, Distance: 35.1 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn slight right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn slight left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Keep right, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 421.0 meters, Time: 303.1 seconds
Name: -, Instruction: Keep right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 249.3 meters, Time: 179.5 seconds
Name: -, Instruction: Keep right, Distance: 179.4 meters, Time: 129.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn slight right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 202.6 meters, Time: 145.9 seconds
Name: -, Instruction: Keep right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
