Name: Boundary Drive, Instruction: Head east on Boundary Drive, Distance: 14.0 meters, Time: 10.1 seconds
Name: Lagoon Gate Drive, Instruction: Enter the roundabout and take the 1st exit onto Lagoon Gate Drive, Distance: 299.9 meters, Time: 215.9 seconds
Name: Lagoon Gate Drive, Instruction: Continue straight onto Lagoon Gate Drive, Distance: 88.4 meters, Time: 63.7 seconds
Name: West Coast Cycle Path, Instruction: Turn left onto West Coast Cycle Path, Distance: 1086.8 meters, Time: 782.5 seconds
Name: West Coast Cycle Path, Instruction: Turn slight right onto West Coast Cycle Path, Distance: 9.2 meters, Time: 6.6 seconds
Name: Loxton Road, Instruction: Turn right onto Loxton Road, Distance: 3.1 meters, Time: 2.2 seconds
Name: Loxton Road, Instruction: Keep right onto Loxton Road, Distance: 425.9 meters, Time: 306.7 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: Masson Road, Instruction: Turn left onto Masson Road, Distance: 66.7 meters, Time: 48.1 seconds
Name: Mansveldt Road, Instruction: Turn right onto Mansveldt Road, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
