Name: Rue Moïse, Instruction: Head northeast on Rue Moïse, Distance: 24.3 meters, Time: 17.5 seconds
Name: Quai Auguste Dehaies, Instruction: Turn left onto Quai Auguste Dehaies, Distance: 14.4 meters, Time: 10.4 seconds
Name: Quai Auguste Dehaies, Instruction: Keep right onto Quai Auguste Dehaies, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: Quai Jean Compagnon, Instruction: Turn left onto Quai Jean Compagnon, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Keep right, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 278.4 meters, Time: 200.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Avenue de la Liberté, Instruction: Turn slight left onto Avenue de la Liberté, Distance: 62.4 meters, Time: 44.9 seconds
Name: Allée de la Liberté, Instruction: Turn left onto Allée de la Liberté, Distance: 12.1 meters, Time: 8.7 seconds
Name: Allée Mahaut d'Artois, Instruction: Turn right onto Allée Mahaut d'Artois, Distance: 125.6 meters, Time: 90.4 seconds
Name: -, Instruction: Arrive at Allée Mahaut d'Artois, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
