Name: Rue Carnot, Instruction: Head northwest on Rue Carnot, Distance: 850.5 meters, Time: 612.4 seconds
Name: Place du Maréchal Juin, Instruction: Turn slight right onto Place du Maréchal Juin, Distance: 37.3 meters, Time: 26.8 seconds
Name: Avenue Georges Pompidou, Instruction: Turn right onto Avenue Georges Pompidou, Distance: 38.5 meters, Time: 27.7 seconds
Name: Allée Auguste Renoir, Instruction: Turn left onto Allée Auguste Renoir, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Continue straight, Distance: 162.3 meters, Time: 116.8 seconds
Name: -, Instruction: Keep left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
