Name: Leeds Street, Instruction: Head west on Leeds Street, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn right, Distance: 360.8 meters, Time: 259.8 seconds
Name: -, Instruction: Keep left, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Keep left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Keep left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Keep left, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 521.0 meters, Time: 375.1 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
