Name: Iceboat Terrace, Instruction: Head west on Iceboat Terrace, Distance: 106.3 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 104.9 meters, Time: 75.6 seconds
Name: -, Instruction: Turn right, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Turn right, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Keep right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Keep right, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Wellington Street West, Instruction: Turn left onto Wellington Street West, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Keep left, Distance: 201.9 meters, Time: 145.4 seconds
Name: Tecumseth Street, Instruction: Turn right onto Tecumseth Street, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at Tecumseth Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
