Name: Felsham Road, Instruction: Head northwest on Felsham Road, Distance: 338.4 meters, Time: 243.6 seconds
Name: Erpingham Road, Instruction: Turn left onto Erpingham Road, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 124.3 meters, Time: 89.5 seconds
Name: Putney Common, Instruction: Turn right onto Putney Common, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 190.5 meters, Time: 137.2 seconds
Name: Willow Farm Lane, Instruction: Turn right onto Willow Farm Lane, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Keep right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
