Name: Pope Close, Instruction: Head north on Pope Close, Distance: 5.5 meters, Time: 4.0 seconds
Name: North Road, Instruction: Turn left onto North Road, Distance: 72.4 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Keep left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Keep left, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn slight right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Keep left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 179.6 meters, Time: 129.3 seconds
Name: -, Instruction: Keep right, Distance: 165.2 meters, Time: 118.9 seconds
Name: -, Instruction: Turn left, Distance: 167.7 meters, Time: 120.7 seconds
Name: -, Instruction: Turn right, Distance: 218.7 meters, Time: 157.5 seconds
Name: Haydons Road, A218, Instruction: Turn right onto Haydons Road, A218, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: Durnsford Road, Instruction: Turn left onto Durnsford Road, Distance: 247.6 meters, Time: 178.2 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
