Name: Rue de la Madone, Instruction: Head south on Rue de la Madone, Distance: 117.6 meters, Time: 84.7 seconds
Name: Rue Marc Séguin, Instruction: Turn left onto Rue Marc Séguin, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Keep left, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 303.8 meters, Time: 218.7 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 165.8 meters, Time: 119.3 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 138.8 meters, Time: 100.0 seconds
Name: Place de la Chapelle, Instruction: Continue straight onto Place de la Chapelle, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Continue straight, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
