Name: D'Arcy Street, Instruction: Head east on D'Arcy Street, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Keep left, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn slight left, Distance: 443.6 meters, Time: 319.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 439.7 meters, Time: 316.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 176.2 meters, Time: 126.8 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
