Name: Cramer Street, Instruction: Head south on Cramer Street, Distance: 112.3 meters, Time: 80.8 seconds
Name: Saint Vincent Street, Instruction: Turn left onto Saint Vincent Street, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn slight right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn slight right, Distance: 29.5 meters, Time: 21.2 seconds
Name: Browning Mews, Instruction: Turn right onto Browning Mews, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Keep right, Distance: 13.1 meters, Time: 9.4 seconds
Name: Langham Street, Instruction: Turn right onto Langham Street, Distance: 12.6 meters, Time: 9.1 seconds
Name: Langham Place, A4201, Instruction: Turn left onto Langham Place, A4201, Distance: 26.8 meters, Time: 19.3 seconds
Name: Riding House Street, Instruction: Turn left onto Riding House Street, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
