Name: Rua Ernesto Nazareth, Instruction: Head east on Rua Ernesto Nazareth, Distance: 257.1 meters, Time: 185.1 seconds
Name: Rua Jorge Rudge, Instruction: Turn left onto Rua Jorge Rudge, Distance: 510.1 meters, Time: 367.2 seconds
Name: Rua Marã, Instruction: Turn left onto Rua Marã, Distance: 182.5 meters, Time: 131.4 seconds
Name: Rua São Francisco Xavier, Instruction: Turn right onto Rua São Francisco Xavier, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: Rua São Francisco Xavier, Instruction: Turn left onto Rua São Francisco Xavier, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 109.4 meters, Time: 78.7 seconds
Name: Rua Radialista Waldir Amaral, Instruction: Turn left onto Rua Radialista Waldir Amaral, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep right, Distance: 46.5 meters, Time: 33.5 seconds
Name: Ciclovia Estádio Mário Filho, Instruction: Turn left onto Ciclovia Estádio Mário Filho, Distance: 141.4 meters, Time: 101.8 seconds
Name: Ciclovia Estádio Mário Filho, Instruction: Continue straight onto Ciclovia Estádio Mário Filho, Distance: 330.7 meters, Time: 238.1 seconds
Name: Ciclovia Estádio Mário Filho, Instruction: Keep left onto Ciclovia Estádio Mário Filho, Distance: 136.5 meters, Time: 98.3 seconds
Name: Ciclovia Estádio Mário Filho, Instruction: Continue straight onto Ciclovia Estádio Mário Filho, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
