Name: Soudan Avenue, Instruction: Head east on Soudan Avenue, Distance: 126.0 meters, Time: 90.8 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 91.3 meters, Time: 65.8 seconds
Name: -, Instruction: Keep right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 247.3 meters, Time: 178.1 seconds
Name: -, Instruction: Turn right, Distance: 417.9 meters, Time: 300.9 seconds
Name: -, Instruction: Keep left, Distance: 108.0 meters, Time: 77.7 seconds
Name: -, Instruction: Keep left, Distance: 122.2 meters, Time: 88.0 seconds
Name: Banff Road, Instruction: Turn left onto Banff Road, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Keep left, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 216.2 meters, Time: 155.7 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
