Name: Käthe-Bauer-Weg, Instruction: Head north on Käthe-Bauer-Weg, Distance: 213.6 meters, Time: 153.8 seconds
Name: Ilmmünsterstraße, Instruction: Continue straight onto Ilmmünsterstraße, Distance: 444.4 meters, Time: 320.0 seconds
Name: Camerloherstraße, Instruction: Turn left onto Camerloherstraße, Distance: 51.2 meters, Time: 36.9 seconds
Name: Berchemstraße, Instruction: Turn right onto Berchemstraße, Distance: 97.9 meters, Time: 70.5 seconds
Name: Hörkherstraße, Instruction: Turn left onto Hörkherstraße, Distance: 108.3 meters, Time: 78.0 seconds
Name: Flotowstraße, Instruction: Turn sharp right onto Flotowstraße, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 104.7 meters, Time: 75.4 seconds
Name: Hogenbergstraße, Instruction: Turn left onto Hogenbergstraße, Distance: 4.3 meters, Time: 3.1 seconds
Name: Kirchmairstraße, Instruction: Turn right onto Kirchmairstraße, Distance: 288.5 meters, Time: 207.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn slight right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 246.1 meters, Time: 177.2 seconds
Name: Fürstenrieder Straße, Instruction: Turn sharp left onto Fürstenrieder Straße, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Fürstenrieder Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
