Name: Waterworth Drive, Instruction: Head northeast on Waterworth Drive, Distance: 192.0 meters, Time: 138.3 seconds
Name: Manna Gum Road, Instruction: Turn left onto Manna Gum Road, Distance: 89.2 meters, Time: 64.2 seconds
Name: Manna Gum Road, Instruction: Turn slight left onto Manna Gum Road, Distance: 325.3 meters, Time: 234.2 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn left, Distance: 174.3 meters, Time: 125.5 seconds
Name: Casuarina Place, Instruction: Turn right onto Casuarina Place, Distance: 64.4 meters, Time: 46.4 seconds
Name: She Oak Grove, Instruction: Turn left onto She Oak Grove, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 167.0 meters, Time: 120.3 seconds
Name: Kent Road, Instruction: Enter the roundabout and take the 1st exit onto Kent Road, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Arrive at Kent Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
