Name: Connaught Gardens, Instruction: Head north on Connaught Gardens, Distance: 100.9 meters, Time: 72.7 seconds
Name: Woodland Rise, Instruction: Turn sharp left onto Woodland Rise, Distance: 541.2 meters, Time: 389.7 seconds
Name: Muswell Hill Road, B550, Instruction: Turn right onto Muswell Hill Road, B550, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 283.5 meters, Time: 204.1 seconds
Name: -, Instruction: Turn right, Distance: 180.6 meters, Time: 130.0 seconds
Name: Lanchester Road, Instruction: Turn right onto Lanchester Road, Distance: 51.8 meters, Time: 37.3 seconds
Name: Fordington Road, Instruction: Enter the roundabout and take the 2nd exit onto Fordington Road, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 501.5 meters, Time: 361.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 36.4 meters, Time: 26.2 seconds
Name: Brompton Grove, Instruction: Turn left onto Brompton Grove, Distance: 203.9 meters, Time: 146.8 seconds
Name: -, Instruction: Turn slight right, Distance: 73.7 meters, Time: 53.0 seconds
Name: High Road, Instruction: Turn right onto High Road, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Continue straight, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
