Name: Klenzestraße, Instruction: Head northeast on Klenzestraße, Distance: 127.0 meters, Time: 91.4 seconds
Name: Camerloherstraße, Instruction: Turn right onto Camerloherstraße, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 596.1 meters, Time: 429.2 seconds
Name: -, Instruction: Keep right, Distance: 909.9 meters, Time: 655.1 seconds
Name: Fischerstraße, Instruction: Turn left onto Fischerstraße, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight left, Distance: 24.5 meters, Time: 17.6 seconds
Name: Auenstraße, Instruction: Turn right onto Auenstraße, Distance: 57.5 meters, Time: 41.4 seconds
Name: Greimelstraße, Instruction: Turn left onto Greimelstraße, Distance: 104.6 meters, Time: 75.3 seconds
Name: Am Griesacker, Instruction: Turn right onto Am Griesacker, Distance: 132.2 meters, Time: 95.2 seconds
Name: Am Griesacker, Instruction: Turn left onto Am Griesacker, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Arrive at Am Griesacker, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
