Name: Bärmannstraße, Instruction: Head west on Bärmannstraße, Distance: 114.6 meters, Time: 82.5 seconds
Name: Paul-Gerhardt-Allee, Instruction: Turn right onto Paul-Gerhardt-Allee, Distance: 888.6 meters, Time: 639.8 seconds
Name: -, Instruction: Turn right, Distance: 82.3 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Bauseweinallee, Instruction: Turn right onto Bauseweinallee, Distance: 768.8 meters, Time: 553.6 seconds
Name: Stücklenstraße, Instruction: Turn left onto Stücklenstraße, Distance: 152.9 meters, Time: 110.1 seconds
Name: Thaddäus-Eck-Straße, Instruction: Turn right onto Thaddäus-Eck-Straße, Distance: 212.8 meters, Time: 153.2 seconds
Name: Raffweg, Instruction: Turn sharp left onto Raffweg, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
