Name: Titoki Street, Instruction: Head southeast on Titoki Street, Distance: 146.9 meters, Time: 105.8 seconds
Name: Te Atatū Shared Path, Instruction: Turn right onto Te Atatū Shared Path, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: Te Atatū Shared Path, Instruction: Turn slight right onto Te Atatū Shared Path, Distance: 110.7 meters, Time: 79.7 seconds
Name: Te Atatū Shared Path, Instruction: Turn left onto Te Atatū Shared Path, Distance: 376.8 meters, Time: 271.3 seconds
Name: Te Atatū Shared Path, Instruction: Keep right onto Te Atatū Shared Path, Distance: 203.4 meters, Time: 146.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Royal View Road, Instruction: Turn right onto Royal View Road, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
