Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 325.2 meters, Time: 234.2 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Keep left, Distance: 414.2 meters, Time: 298.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 434.6 meters, Time: 312.9 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: Trelawney Street, Instruction: Turn right onto Trelawney Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: Jersey Road, Instruction: Turn left onto Jersey Road, Distance: 87.9 meters, Time: 63.3 seconds
Name: Quarry Street, Instruction: Turn right onto Quarry Street, Distance: 51.8 meters, Time: 37.3 seconds
Name: Forbes Street, Instruction: Turn sharp left onto Forbes Street, Distance: 92.9 meters, Time: 66.9 seconds
Name: Sutherland Street, Instruction: Turn left onto Sutherland Street, Distance: 16.3 meters, Time: 11.8 seconds
Name: Point Piper Lane, Instruction: Turn right onto Point Piper Lane, Distance: 344.8 meters, Time: 248.3 seconds
Name: -, Instruction: Arrive at Point Piper Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
