Name: Montana Court, Instruction: Head northeast on Montana Court, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: Scottsdale Street, Instruction: Turn left onto Scottsdale Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Phoenix Avenue, Instruction: Turn left onto Phoenix Avenue, Distance: 211.4 meters, Time: 152.2 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: Solitaire Court, Instruction: Turn right onto Solitaire Court, Distance: 205.7 meters, Time: 148.1 seconds
Name: -, Instruction: Turn left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn right, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 339.9 meters, Time: 244.7 seconds
Name: -, Instruction: Turn slight left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn slight right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Pokolbin Avenue, Instruction: Turn right onto Pokolbin Avenue, Distance: 268.8 meters, Time: 193.5 seconds
Name: -, Instruction: Arrive at Pokolbin Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
