Name: Vernadale Crescent, Instruction: Head south on Vernadale Crescent, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 125.5 meters, Time: 90.3 seconds
Name: -, Instruction: Turn right, Distance: 155.2 meters, Time: 111.8 seconds
Name: Westbourne Avenue, Instruction: Turn left onto Westbourne Avenue, Distance: 165.8 meters, Time: 119.4 seconds
Name: Dawes Road, Instruction: Turn right onto Dawes Road, Distance: 247.0 meters, Time: 177.9 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn slight left, Distance: 1392.6 meters, Time: 1002.7 seconds
Name: -, Instruction: Turn slight right, Distance: 282.5 meters, Time: 203.4 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
