Name: Rua Roquete Pinto, Instruction: Head northeast on Rua Roquete Pinto, Distance: 178.1 meters, Time: 128.2 seconds
Name: Avenida São Sebastião, Instruction: Turn right onto Avenida São Sebastião, Distance: 394.4 meters, Time: 284.0 seconds
Name: Rua Marechal Cantuária, Instruction: Continue straight onto Rua Marechal Cantuária, Distance: 39.7 meters, Time: 28.6 seconds
Name: Rua Marechal Cantuária, Instruction: Turn left onto Rua Marechal Cantuária, Distance: 508.0 meters, Time: 365.8 seconds
Name: Avenida Portugal, Instruction: Continue straight onto Avenida Portugal, Distance: 32.5 meters, Time: 23.4 seconds
Name: Rua Ramon Franco, Instruction: Turn left onto Rua Ramon Franco, Distance: 100.9 meters, Time: 72.6 seconds
Name: Rua Urbano Santos, Instruction: Turn right onto Rua Urbano Santos, Distance: 300.4 meters, Time: 216.3 seconds
Name: Avenida Pasteur, Instruction: Turn right onto Avenida Pasteur, Distance: 371.5 meters, Time: 267.5 seconds
Name: -, Instruction: Turn left, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn left, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn slight right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 160.4 meters, Time: 115.5 seconds
Name: Avenida Venceslau Braz, Instruction: Turn left onto Avenida Venceslau Braz, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 149.8 meters, Time: 107.8 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn sharp left onto Ciclovia Mané Garrincha, Distance: 7.4 meters, Time: 5.4 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn sharp right onto Ciclovia Mané Garrincha, Distance: 15.4 meters, Time: 11.1 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn left onto Ciclovia Mané Garrincha, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at Ciclovia Mané Garrincha, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
