Name: Chatsworth Avenue, Instruction: Head southeast on Chatsworth Avenue, Distance: 82.0 meters, Time: 59.1 seconds
Name: Chatsworth Road, Instruction: Enter the roundabout and take the 1st exit onto Chatsworth Road, Distance: 224.6 meters, Time: 161.7 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 213.2 meters, Time: 153.5 seconds
Name: -, Instruction: Turn right, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: Bishopsgate, Instruction: Turn right onto Bishopsgate, Distance: 368.8 meters, Time: 265.5 seconds
Name: Jervois Road, Instruction: Continue straight onto Jervois Road, Distance: 162.6 meters, Time: 117.1 seconds
Name: -, Instruction: Keep right, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Continue straight, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 313.2 meters, Time: 225.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 247.7 meters, Time: 178.4 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
