Name: Impasse Gravel, Instruction: Head southeast on Impasse Gravel, Distance: 77.8 meters, Time: 56.0 seconds
Name: Rue Aristide Briand, Instruction: Turn left onto Rue Aristide Briand, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 41.7 meters, Time: 30.0 seconds
Name: Rue de Bretagne, Instruction: Turn left onto Rue de Bretagne, Distance: 139.4 meters, Time: 100.3 seconds
Name: -, Instruction: Turn left, Distance: 209.6 meters, Time: 150.9 seconds
Name: Rue Pablo Neruda, Instruction: Turn left onto Rue Pablo Neruda, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 119.2 meters, Time: 85.8 seconds
Name: Rue Pablo Neruda, Instruction: Turn left onto Rue Pablo Neruda, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight right, Distance: 84.6 meters, Time: 60.9 seconds
Name: Boulevard du Fort-de-Vaux, Instruction: Turn left onto Boulevard du Fort-de-Vaux, Distance: 79.0 meters, Time: 56.9 seconds
Name: Rue Marguerite Long, Instruction: Turn right onto Rue Marguerite Long, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
