Name: شارع خلف العبور, Instruction: Head north on شارع خلف العبور, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 228.8 meters, Time: 164.7 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn sharp right onto شارع احسان عبد القدوس, Distance: 206.5 meters, Time: 148.7 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: شارع الخليفه المأمون, Instruction: Turn right onto شارع الخليفه المأمون, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: شارع الخليفه المأمون, Instruction: Turn left onto شارع الخليفه المأمون, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: شارع الخليفه المأمون الجانبي, Instruction: Turn left onto شارع الخليفه المأمون الجانبي, Distance: 81.0 meters, Time: 58.3 seconds
Name: شارع الطيار حسن لطفي, Instruction: Turn right onto شارع الطيار حسن لطفي, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Arrive at شارع الطيار حسن لطفي, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
