Name: Passage de la Canopée, Instruction: Head east on Passage de la Canopée, Distance: 31.2 meters, Time: 22.5 seconds
Name: Rue Pierre Lescot, Instruction: Turn left onto Rue Pierre Lescot, Distance: 250.4 meters, Time: 180.3 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: Rue Saint-Denis, Instruction: Continue straight onto Rue Saint-Denis, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rue Saint-Denis, Instruction: Turn left onto Rue Saint-Denis, Distance: 638.6 meters, Time: 459.7 seconds
Name: Boulevard de Bonne Nouvelle, Instruction: Turn left onto Boulevard de Bonne Nouvelle, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Porte Saint-Denis, Instruction: Turn sharp right onto Porte Saint-Denis, Distance: 35.3 meters, Time: 25.4 seconds
Name: Rue du Faubourg Saint-Denis, Instruction: Turn left onto Rue du Faubourg Saint-Denis, Distance: 616.0 meters, Time: 443.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: Rue Léon Schwartzenberg, Instruction: Turn slight left onto Rue Léon Schwartzenberg, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Arrive at Rue Léon Schwartzenberg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
