Name: Lindwurmstraße, Instruction: Head east on Lindwurmstraße, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.0 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: Daumillerweg, Instruction: Turn right onto Daumillerweg, Distance: 52.3 meters, Time: 37.7 seconds
Name: Spitzwegstraße, Instruction: Turn left onto Spitzwegstraße, Distance: 6.6 meters, Time: 4.8 seconds
Name: Spitzwegstraße, Instruction: Turn left onto Spitzwegstraße, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn right, Distance: 238.5 meters, Time: 171.7 seconds
Name: -, Instruction: Keep right, Distance: 249.2 meters, Time: 179.4 seconds
Name: Ganghoferstraße, Instruction: Continue straight onto Ganghoferstraße, Distance: 845.8 meters, Time: 609.0 seconds
Name: Ganghoferstraße, Instruction: Turn slight right onto Ganghoferstraße, Distance: 18.3 meters, Time: 13.2 seconds
Name: Ganghoferstraße, Instruction: Turn right onto Ganghoferstraße, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Kazmairstraße, Instruction: Turn right onto Kazmairstraße, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at Kazmairstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
