Name: Avenue Henri Ginoux, Instruction: Head north on Avenue Henri Ginoux, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 258.2 meters, Time: 185.9 seconds
Name: -, Instruction: Turn slight right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight left, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Keep right, Distance: 213.8 meters, Time: 153.9 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 399.4 meters, Time: 287.5 seconds
Name: -, Instruction: Turn left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
