Name: Rue du Cloître Notre-Dame, Instruction: Head southeast on Rue du Cloître Notre-Dame, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Keep left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Keep left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Keep right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn slight right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 54.9 meters, Time: 39.5 seconds
Name: Rue Geoffroy l'Asnier, Instruction: Turn left onto Rue Geoffroy l'Asnier, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue François Miron, Instruction: Turn right onto Rue François Miron, Distance: 300.9 meters, Time: 216.7 seconds
Name: -, Instruction: Turn left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
