Name: Jiak Chuan Road, Instruction: Head southwest on Jiak Chuan Road, Distance: 76.1 meters, Time: 54.8 seconds
Name: Keong Saik Road, Instruction: Turn left onto Keong Saik Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Keep right, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
