Name: ちょっといい一番街, Instruction: Head west on ちょっといい一番街, Distance: 12.1 meters, Time: 8.7 seconds
Name: サンモール, Instruction: Turn right onto サンモール, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn slight left, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Keep left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Continue straight, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Keep left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 24.0 meters, Time: 17.2 seconds
Name: -, Instruction: Keep right, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
