Name: Glenthorne Avenue, Instruction: Head northeast on Glenthorne Avenue, Distance: 258.9 meters, Time: 186.4 seconds
Name: -, Instruction: Keep left, Distance: 178.8 meters, Time: 128.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Keep left, Distance: 242.3 meters, Time: 174.4 seconds
Name: -, Instruction: Keep left, Distance: 119.2 meters, Time: 85.8 seconds
Name: Bywood Avenue, Instruction: Turn left onto Bywood Avenue, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 281.3 meters, Time: 202.5 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Continue straight, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 168.8 meters, Time: 121.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
