Name: Rue Albert Samain, Instruction: Head south on Rue Albert Samain, Distance: 97.4 meters, Time: 70.1 seconds
Name: Boulevard Berthier, Instruction: Continue straight onto Boulevard Berthier, Distance: 22.3 meters, Time: 16.1 seconds
Name: Boulevard Berthier, Instruction: Turn right onto Boulevard Berthier, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: Boulevard Berthier, Instruction: Turn right onto Boulevard Berthier, Distance: 89.9 meters, Time: 64.7 seconds
Name: Place du 22 Novembre 1943, Instruction: Turn left onto Place du 22 Novembre 1943, Distance: 18.8 meters, Time: 13.5 seconds
Name: Avenue de Villiers, Instruction: Turn left onto Avenue de Villiers, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Rue d'Héliopolis, Instruction: Turn left onto Rue d'Héliopolis, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue Rennequin, Instruction: Turn slight left onto Rue Rennequin, Distance: 581.6 meters, Time: 418.8 seconds
Name: Place Jacqueline François, Instruction: Continue straight onto Place Jacqueline François, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 228.4 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Avenue de Wagram, Instruction: Turn right onto Avenue de Wagram, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at Avenue de Wagram, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
