Name: Sari Place, Instruction: Head southwest on Sari Place, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Keep left, Distance: 265.9 meters, Time: 191.4 seconds
Name: -, Instruction: Turn slight right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 180.9 meters, Time: 130.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Flagstaff Place, Instruction: Turn left onto Flagstaff Place, Distance: 7.2 meters, Time: 5.2 seconds
Name: Widmore Drive, Instruction: Turn left onto Widmore Drive, Distance: 51.6 meters, Time: 37.1 seconds
Name: White Heron Drive, Instruction: Turn right onto White Heron Drive, Distance: 383.4 meters, Time: 276.1 seconds
Name: Granville Drive, Instruction: Turn left onto Granville Drive, Distance: 43.6 meters, Time: 31.4 seconds
Name: George McWhirter Avenue, Instruction: Turn right onto George McWhirter Avenue, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
