Name: شارع تل نصر, Instruction: Head northeast on شارع تل نصر, Distance: 155.4 meters, Time: 111.9 seconds
Name: شارع النقلي, Instruction: Continue straight onto شارع النقلي, Distance: 42.4 meters, Time: 30.5 seconds
Name: شارع الصحافة, Instruction: Turn slight left onto شارع الصحافة, Distance: 18.0 meters, Time: 13.0 seconds
Name: شارع جمال عبد الناصر, Instruction: Turn left onto شارع جمال عبد الناصر, Distance: 31.7 meters, Time: 22.8 seconds
Name: شارع جمال عبد الناصر, Instruction: Turn sharp right onto شارع جمال عبد الناصر, Distance: 54.7 meters, Time: 39.4 seconds
Name: شارع الصحافة, Instruction: Continue straight onto شارع الصحافة, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 133.4 meters, Time: 96.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 120.2 meters, Time: 86.5 seconds
Name: شارع محمد حسن, Instruction: Turn right onto شارع محمد حسن, Distance: 110.1 meters, Time: 79.3 seconds
Name: شارع الشريفه, Instruction: Turn left onto شارع الشريفه, Distance: 251.4 meters, Time: 181.0 seconds
Name: شارع السبتيه, Instruction: Turn right onto شارع السبتيه, Distance: 28.8 meters, Time: 20.7 seconds
Name: شارع عرابي, Instruction: Turn slight right onto شارع عرابي, Distance: 85.3 meters, Time: 61.4 seconds
Name: شارع الجلاء, Instruction: Turn sharp left onto شارع الجلاء, Distance: 61.7 meters, Time: 44.4 seconds
Name: شارع الهلال الاحمر, Instruction: Turn right onto شارع الهلال الاحمر, Distance: 22.9 meters, Time: 16.5 seconds
Name: شارع الجلاء, Instruction: Turn left onto شارع الجلاء, Distance: 318.6 meters, Time: 229.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 85.6 meters, Time: 61.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
