Name: Karl-Marx-Ring, Instruction: Head northeast on Karl-Marx-Ring, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Keep right, Distance: 269.8 meters, Time: 194.3 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: Kafkastraße, Instruction: Turn left onto Kafkastraße, Distance: 9.5 meters, Time: 6.9 seconds
Name: Sudermannallee, Instruction: Turn right onto Sudermannallee, Distance: 190.3 meters, Time: 137.0 seconds
Name: -, Instruction: Keep right, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
