Name: 田柄通り, Instruction: Head west on 田柄通り, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 200.4 meters, Time: 144.3 seconds
Name: -, Instruction: Turn right, Distance: 282.0 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 443.9 meters, Time: 319.6 seconds
Name: -, Instruction: Turn left, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn right, Distance: 183.5 meters, Time: 132.1 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
