Name: Idyllwood Crescent, Instruction: Head east on Idyllwood Crescent, Distance: 134.3 meters, Time: 96.7 seconds
Name: Clendenan Avenue, Instruction: Turn right onto Clendenan Avenue, Distance: 399.6 meters, Time: 287.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 144.1 meters, Time: 103.7 seconds
Name: High Park West, Instruction: Turn right onto High Park West, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Continue straight, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
