Name: Carlyle Lane, Instruction: Head southeast on Carlyle Lane, Distance: 89.6 meters, Time: 64.5 seconds
Name: Carlyle Street, Instruction: Turn left onto Carlyle Street, Distance: 146.2 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 321.5 meters, Time: 231.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: Willoughby Lane, Instruction: Turn left onto Willoughby Lane, Distance: 211.6 meters, Time: 152.3 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: Alexander Street, Instruction: Turn left onto Alexander Street, Distance: 269.0 meters, Time: 193.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 65.5 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 369.5 meters, Time: 266.1 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 264.4 meters, Time: 190.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
