Name: شارع حمزة بن عبد المطلب, Instruction: Head southeast on شارع حمزة بن عبد المطلب, Distance: 67.9 meters, Time: 48.9 seconds
Name: شارع عبدالله بن عمر, Instruction: Turn left onto شارع عبدالله بن عمر, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Keep left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 206.5 meters, Time: 148.7 seconds
Name: -, Instruction: Turn slight right, Distance: 18.6 meters, Time: 13.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn left onto شارع طلعت مصطفى, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn left onto شارع طلعت مصطفى, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight right onto شارع طلعت مصطفى, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Keep right, Distance: 57.5 meters, Time: 41.4 seconds
Name: شارع احمد بن حنبل, Instruction: Turn slight right onto شارع احمد بن حنبل, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn right onto شارع احمد بن حنبل, Distance: 29.5 meters, Time: 21.2 seconds
Name: شارع احمد بن حنبل الجانبى, Instruction: Turn left onto شارع احمد بن حنبل الجانبى, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn slight left, Distance: 11.4 meters, Time: 8.2 seconds
Name: شارع طه حسين, Instruction: Turn right onto شارع طه حسين, Distance: 19.3 meters, Time: 13.9 seconds
Name: شارع توفيق الحكيم, Instruction: Turn left onto شارع توفيق الحكيم, Distance: 304.0 meters, Time: 218.9 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: شارع نجيب محفوظ الجانبى, Instruction: Turn left onto شارع نجيب محفوظ الجانبى, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: شارع نجيب محفوظ, Instruction: Turn right onto شارع نجيب محفوظ, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: شارع نجيب محفوظ, Instruction: Turn left onto شارع نجيب محفوظ, Distance: 11.3 meters, Time: 8.1 seconds
Name: شارع صلاح طاهر, Instruction: Keep right onto شارع صلاح طاهر, Distance: 26.6 meters, Time: 19.2 seconds
Name: شارع صلاح طاهر, Instruction: Continue straight onto شارع صلاح طاهر, Distance: 135.7 meters, Time: 97.7 seconds
Name: شارع حسين بكر, Instruction: Turn left onto شارع حسين بكر, Distance: 10.8 meters, Time: 7.8 seconds
Name: شارع صلاح طاهر, Instruction: Turn right onto شارع صلاح طاهر, Distance: 121.7 meters, Time: 87.6 seconds
Name: شارع صلاح طاهر, Instruction: Enter the roundabout and take the 1st exit onto شارع صلاح طاهر, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: شارع صلاح طاهر, Instruction: Turn left onto شارع صلاح طاهر, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
