Name: Holly Grove, Instruction: Head west on Holly Grove, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Bellenden Road, Instruction: Turn right onto Bellenden Road, Distance: 476.3 meters, Time: 342.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.6 seconds
Name: Sumner Road, Instruction: Turn right onto Sumner Road, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Sumner Road, Instruction: Turn left onto Sumner Road, Distance: 321.2 meters, Time: 231.3 seconds
Name: Commercial Way, Instruction: Turn left onto Commercial Way, Distance: 4.6 meters, Time: 3.3 seconds
Name: Sumner Road, Instruction: Turn right onto Sumner Road, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Arrive at Sumner Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
