Name: شارع علي امين, Instruction: Head west on شارع علي امين, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.2 meters, Time: 28.9 seconds
Name: شارع الخليفه القاهر, Instruction: Turn left onto شارع الخليفه القاهر, Distance: 603.8 meters, Time: 434.7 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 128.7 meters, Time: 92.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
