Name: Midson Road, Instruction: Head west on Midson Road, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 198.0 meters, Time: 142.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 698.7 meters, Time: 503.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Ray Road, Instruction: Turn left onto Ray Road, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
