Name: Uptown Avenue, Instruction: Head north on Uptown Avenue, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 364.0 meters, Time: 262.1 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn right, Distance: 185.9 meters, Time: 133.8 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
