Name: Rue Charles Gerhardt, Instruction: Head northeast on Rue Charles Gerhardt, Distance: 38.1 meters, Time: 27.5 seconds
Name: Rue Gustave Doré, Instruction: Turn right onto Rue Gustave Doré, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 113.8 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Keep right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 98.8 meters, Time: 71.2 seconds
Name: -, Instruction: Keep right, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Keep right, Distance: 293.3 meters, Time: 211.2 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight left, Distance: 114.9 meters, Time: 82.7 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.8 meters, Time: 20.7 seconds
Name: Rue Brochant, Instruction: Continue straight onto Rue Brochant, Distance: 277.2 meters, Time: 199.6 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
