Name: Kaki Bukit Avenue 4, Instruction: Head north on Kaki Bukit Avenue 4, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight left, Distance: 344.9 meters, Time: 248.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 413.3 meters, Time: 297.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 290.9 meters, Time: 209.5 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 353.2 meters, Time: 254.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
