Name: Cresta Avenue, Instruction: Head north on Cresta Avenue, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn slight right, Distance: 145.2 meters, Time: 104.5 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 220.1 meters, Time: 158.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Melba Street, Instruction: Turn right onto Melba Street, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
