Name: Riverdale Farm Exit, Instruction: Head north on Riverdale Farm Exit, Distance: 4.6 meters, Time: 3.3 seconds
Name: Winchester Street, Instruction: Turn left onto Winchester Street, Distance: 45.4 meters, Time: 32.7 seconds
Name: To Street Parking, Instruction: Turn left onto To Street Parking, Distance: 41.1 meters, Time: 29.6 seconds
Name: To Street Parking, Instruction: Turn slight right onto To Street Parking, Distance: 148.4 meters, Time: 106.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Carlton Street, Instruction: Turn right onto Carlton Street, Distance: 412.5 meters, Time: 297.0 seconds
Name: Exchange Lane, Instruction: Turn left onto Exchange Lane, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 97.0 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: Doctor O Lane, Instruction: Turn right onto Doctor O Lane, Distance: 3.7 meters, Time: 2.7 seconds
Name: Berkeley Street, Instruction: Turn left onto Berkeley Street, Distance: 121.5 meters, Time: 87.5 seconds
Name: Woodward Evans Lane, Instruction: Turn right onto Woodward Evans Lane, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.1 seconds
Name: -, Instruction: Keep left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 211.6 meters, Time: 152.4 seconds
Name: -, Instruction: Turn left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
