Name: Mutual Way, Instruction: Head east on Mutual Way, Distance: 7.2 meters, Time: 5.2 seconds
Name: Forest Drive Extension, Instruction: Continue straight onto Forest Drive Extension, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 514.1 meters, Time: 370.2 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Forest Drive Extension, Instruction: Turn slight left onto Forest Drive Extension, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: Forest Drive Extension, Instruction: Turn right onto Forest Drive Extension, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: Spine Boulevard, Instruction: Turn left onto Spine Boulevard, Distance: 66.5 meters, Time: 47.9 seconds
Name: Spine Boulevard, Instruction: Continue straight onto Spine Boulevard, Distance: 93.3 meters, Time: 67.2 seconds
Name: Moringa Way, Instruction: Enter the roundabout and take the 1st exit onto Moringa Way, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Turn right, Distance: 44.0 meters, Time: 31.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
