Name: Stanway Place, Instruction: Head northwest on Stanway Place, Distance: 87.3 meters, Time: 62.8 seconds
Name: Kalmia Street, Instruction: Turn right onto Kalmia Street, Distance: 337.8 meters, Time: 243.2 seconds
Name: Kalmia Street, Instruction: Keep left onto Kalmia Street, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 359.1 meters, Time: 258.5 seconds
Name: -, Instruction: Turn left, Distance: 368.5 meters, Time: 265.3 seconds
Name: -, Instruction: Turn left, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 437.1 meters, Time: 314.7 seconds
Name: Green Shared Path East, Instruction: Turn sharp left onto Green Shared Path East, Distance: 130.9 meters, Time: 94.2 seconds
Name: Green Shared Path East, Instruction: Keep right onto Green Shared Path East, Distance: 210.7 meters, Time: 151.7 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 269.7 meters, Time: 194.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
