Name: South Salida Court, Instruction: Head south on South Salida Court, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn slight left, Distance: 62.4 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 359.3 meters, Time: 258.7 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: East Prentice Drive, Instruction: Turn right onto East Prentice Drive, Distance: 61.5 meters, Time: 44.3 seconds
Name: East Prentice Place, Instruction: Turn left onto East Prentice Place, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at East Prentice Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
