Name: Rue Watteau, Instruction: Head southeast on Rue Watteau, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 205.1 meters, Time: 147.7 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 431.2 meters, Time: 310.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: Rue du Château des Rentiers, Instruction: Turn left onto Rue du Château des Rentiers, Distance: 156.8 meters, Time: 112.9 seconds
Name: Rue Jean Colly, Instruction: Keep left onto Rue Jean Colly, Distance: 273.7 meters, Time: 197.1 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight left, Distance: 174.5 meters, Time: 125.7 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: Rue Cantagrel, Instruction: Keep left onto Rue Cantagrel, Distance: 12.6 meters, Time: 9.1 seconds
Name: Rue Cantagrel, Instruction: Continue straight onto Rue Cantagrel, Distance: 262.0 meters, Time: 188.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight right, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rue Eugène Oudiné, Instruction: Turn left onto Rue Eugène Oudiné, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rue du Chevaleret, Instruction: Turn right onto Rue du Chevaleret, Distance: 18.3 meters, Time: 13.1 seconds
Name: Rue du Loiret, Instruction: Turn left onto Rue du Loiret, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Arrive at Rue du Loiret, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
