Name: Brookview Drive, Instruction: Head southwest on Brookview Drive, Distance: 10.4 meters, Time: 7.5 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 3rd exit onto Hikuawa Road, Distance: 302.8 meters, Time: 218.0 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 2nd exit onto Hikuawa Road, Distance: 443.3 meters, Time: 319.2 seconds
Name: Drumconnell Drive, Instruction: Enter the roundabout and take the 1st exit onto Drumconnell Drive, Distance: 181.9 meters, Time: 131.0 seconds
Name: Drumconnell Drive, Instruction: Turn slight left onto Drumconnell Drive, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 196.3 meters, Time: 141.3 seconds
Name: -, Instruction: Continue straight, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn slight left, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Joseph Street, Instruction: Turn left onto Joseph Street, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 246.7 meters, Time: 177.6 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Arrowsmith Drive, Instruction: Turn right onto Arrowsmith Drive, Distance: 254.8 meters, Time: 183.5 seconds
Name: Arrowsmith Drive, Instruction: Keep left onto Arrowsmith Drive, Distance: 29.0 meters, Time: 20.9 seconds
Name: Arrowsmith Drive, Instruction: Turn right onto Arrowsmith Drive, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at Arrowsmith Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
