Name: Kaki Bukit Avenue 3, Instruction: Head southwest on Kaki Bukit Avenue 3, Distance: 68.0 meters, Time: 48.9 seconds
Name: Kaki Bukit Crescent, Instruction: Turn left onto Kaki Bukit Crescent, Distance: 169.5 meters, Time: 122.1 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Keep left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Continue straight, Distance: 258.9 meters, Time: 186.4 seconds
Name: Jalan Tenaga, Instruction: Turn right onto Jalan Tenaga, Distance: 5.7 meters, Time: 4.1 seconds
Name: Jalan Tenaga, Instruction: Turn left onto Jalan Tenaga, Distance: 48.5 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 296.7 meters, Time: 213.6 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 261.0 meters, Time: 187.9 seconds
Name: -, Instruction: Turn left, Distance: 433.0 meters, Time: 311.8 seconds
Name: -, Instruction: Turn right, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: Jalan Eunos, Instruction: Turn sharp right onto Jalan Eunos, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
