Name: Freeland Avenue, Instruction: Head northeast on Freeland Avenue, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Keep left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Christie Street, Instruction: Turn left onto Christie Street, Distance: 11.8 meters, Time: 8.5 seconds
Name: May Road, Instruction: Turn left onto May Road, Distance: 50.0 meters, Time: 36.0 seconds
Name: Roma Road, Instruction: Turn right onto Roma Road, Distance: 163.4 meters, Time: 117.7 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep left, Distance: 197.6 meters, Time: 142.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
